term,justice_id,justice,idealpt,idealpt_sd,median_idealpt,median_justice
1937,67,McReynolds,3.437,0.54,-0.568,Brandeis
1937,68,Brandeis,-0.612,0.271,-0.568,Brandeis
1937,71,Sutherland,1.586,0.549,-0.568,Brandeis
1937,72,Butler,2.064,0.426,-0.568,Brandeis
1937,74,Stone,-0.774,0.259,-0.568,Brandeis
1937,75,Hughes2,-0.368,0.232,-0.568,Brandeis
1937,76,O. Roberts,0.008,0.228,-0.568,Brandeis
1937,77,Cardozo,-1.594,0.634,-0.568,Brandeis
1937,78,Black,-2.903,0.334,-0.568,Brandeis
1937,79,Reed,-1.057,0.342,-0.568,Brandeis
1938,67,McReynolds,3.569,0.553,-0.698,Stone
1938,68,Brandeis,-0.619,0.313,-0.698,Stone
1938,72,Butler,2.365,0.428,-0.698,Stone
1938,74,Stone,-0.71,0.214,-0.698,Stone
1938,75,Hughes2,-0.191,0.19,-0.698,Stone
1938,76,O. Roberts,0.344,0.199,-0.698,Stone
1938,78,Black,-3.214,0.362,-0.698,Stone
1938,79,Reed,-1.145,0.255,-0.698,Stone
1938,80,Frankfurter,-1.405,0.325,-0.698,Stone
1938,81,Douglas,-2.794,0.49,-0.698,Stone
1939,67,McReynolds,3.537,0.607,-1.018,Reed
1939,74,Stone,-0.625,0.2,-1.018,Reed
1939,75,Hughes2,0.339,0.195,-1.018,Reed
1939,76,O. Roberts,1.001,0.227,-1.018,Reed
1939,78,Black,-3.308,0.382,-1.018,Reed
1939,79,Reed,-1.068,0.234,-1.018,Reed
1939,80,Frankfurter,-1.279,0.251,-1.018,Reed
1939,81,Douglas,-3.012,0.441,-1.018,Reed
1939,82,Murphy,-1.624,0.35,-1.018,Reed
1940,67,McReynolds,3.357,0.707,-0.639,Frankfurter
1940,74,Stone,-0.217,0.189,-0.639,Frankfurter
1940,75,Hughes2,0.932,0.24,-0.639,Frankfurter
1940,76,O. Roberts,1.65,0.269,-0.639,Frankfurter
1940,78,Black,-3.346,0.386,-0.639,Frankfurter
1940,79,Reed,-0.741,0.207,-0.639,Frankfurter
1940,80,Frankfurter,-0.74,0.206,-0.639,Frankfurter
