ccode,polity_code,dispute,StYear,EndYear
200,UKG,1,1902,1903
2,USA,1,1902,1903
345,YGS,1,1913,1913
300,NA,1,1913,1913
339,ALB,1,1946,1946
200,UKG,1,1946,1946
200,UKG,1,1951,1952
651,EGY,1,1951,1952
630,IRN,1,1856,1857
200,UKG,1,1856,1857
235,POR,1,1889,1890
200,UKG,1,1889,1890
305,AUS,1,1938,1938
255,GMY,1,1938,1938
365,RUS,1,1938,1938
211,BEL,1,1938,1938
200,UKG,1,1938,1938
220,FRN,1,1938,1938
255,GMY,1,1938,1938
315,CZE,1,1938,1938
740,JPN,1,1863,1863
200,UKG,1,1863,1863
2,USA,1,1863,1863
220,FRN,1,1863,1863
640,TUR,1,1895,1895
200,UKG,1,1895,1895
2,USA,1,1839,1839
200,UKG,1,1839,1839
730,NA,1,1897,1898
365,RUS,1,1897,1898
740,JPN,1,1897,1898
200,UKG,1,1897,1898
337,TUS,1,1848,1848
332,MOD,1,1848,1848
325,ITA,1,1848,1849
300,NA,1,1848,1849
630,IRN,1,1945,1946
365,RUS,1,1945,1946
345,YGS,1,1912,1912
365,RUS,1,1912,1912
300,NA,1,1912,1912
365,RUS,1,1940,1940
367,LAT,1,1940,1940
366,EST,1,1939,1939
365,RUS,1,1939,1939
200,UKG,1,1831,1832
210,NTH,1,1831,1832
211,BEL,1,1831,1832
220,FRN,1,1831,1831
2,USA,1,1948,1949
200,UKG,1,1948,1949
220,FRN,1,1948,1949
365,RUS,1,1948,1949
315,CZE,1,1961,1961
290,POL,1,1961,1961
200,UKG,1,1961,1961
220,FRN,1,1961,1961
2,USA,1,1961,1961
265,NA,1,1961,1961
365,RUS,1,1961,1961
260,NA,1,1961,1961
220,FRN,1,1961,1961
616,TUN,1,1961,1961
300,NA,1,1908,1909
345,YGS,1,1908,1909
300,NA,1,1900,1900
325,ITA,1,1900,1900
255,GMY,1,1900,1900
2,USA,1,1900,1900
200,UKG,1,1900,1900
220,FRN,1,1900,1900
365,RUS,1,1900,1900
740,JPN,1,1900,1900
710,CHN,1,1900,1900
2,USA,1,1837,1838
200,UKG,1,1837,1838
740,JPN,1,1928,1928
710,CHN,1,1928,1928
365,RUS,1,1929,1929
710,CHN,1,1929,1929
255,GMY,1,1897,1898
710,CHN,1,1897,1898
732,ROK,1,1953,1953
365,RUS,1,1954,1954
2,USA,1,1953,1956
710,CHN,1,1953,1956
713,TAW,1,1953,1956
920,NEW,1,1950,1953
840,PHI,1,1950,1953
210,NTH,1,1951,1953
350,GRC,1,1951,1953
211,BEL,1,1951,1953
100,COL,1,1951,1953
800,THI,1,1951,1953
530,ETI,1,1951,1953
20,CAN,1,1950,1953
220,FRN,1,1951,1953
900,AUL,1,1950,1953
640,TUR,1,1950,1953
200,UKG,1,1950,1953
710,CHN,1,1950,1953
732,ROK,1,1950,1953
2,USA,1,1950,1953
731,PRK,1,1950,1953
2,USA,1,1956,1956
710,CHN,1,1956,1956
350,GRC,1,1923,1923
325,ITA,1,1923,1923
640,TUR,1,1897,1897
350,GRC,1,1897,1897
220,FRN,1,1897,1897
255,GMY,1,1897,1897
300,NA,1,1897,1897
325,ITA,1,1897,1897
200,UKG,1,1897,1897
365,RUS,1,1897,1897
300,NA,1,1854,1856
365,RUS,1,1853,1856
325,ITA,1,1855,1856
640,TUR,1,1853,1856
200,UKG,1,1853,1856
220,FRN,1,1853,1856
2,USA,1,1962,1962
365,RUS,1,1962,1962
40,CUB,1,1962,1962
640,TUR,1,1826,1826
365,RUS,1,1826,1826
360,RUM,1,1883,1883
300,NA,1,1883,1883
345,YGS,1,1934,1934
255,GMY,1,1934,1934
325,ITA,1,1934,1934
315,CZE,1,1934,1934
42,DOM,1,1900,1900
220,FRN,1,1900,1900
2,USA,1,1900,1900
42,DOM,1,1914,1916
2,USA,1,1914,1916
350,GRC,1,1850,1850
200,UKG,1,1850,1850
339,ALB,1,1934,1934
325,ITA,1,1934,1934
200,UKG,1,1898,1898
220,FRN,1,1898,1898
327,PAP,1,1847,1848
300,NA,1,1847,1848
230,SPN,1,1907,1908
220,FRN,1,1907,1908
600,MOR,1,1907,1908
255,GMY,1,1870,1871
267,BAD,1,1870,1870
220,FRN,1,1870,1871
271,WRT,1,1870,1870
245,BAV,1,1870,1870
365,RUS,1,1823,1823
255,GMY,1,1823,1823
300,NA,1,1823,1823
220,FRN,1,1822,1823
230,SPN,1,1822,1823
640,TUR,1,1887,1887
365,RUS,1,1887,1887
220,FRN,1,1964,1964
481,GAB,1,1964,1964
