serial,pernum,hhwt,perwt,state,county_identified,puma,city,sex,age,birthyr,race,hispan,educ,citizen,yrnatur
701308,1,61,61,Mississippi,,600,(other),Male,48,1967,White,Not Hispanic,4 years of college,Born in the US,N/A
842760,1,138,138,New York,Nassau,3207,(other),Male,57,1958,White,Not Hispanic,1 year of college,US citizen by naturalization,1973
505873,2,79,193,Kansas,,400,(other),Male,26,1989,White,Not Hispanic,2 years of college,Born in the US,N/A
592141,1,167,167,Massachusetts,Suffolk,3304,"Boston, MA",Male,33,1982,Black/Negro,Not Hispanic,1 year of college,Born in the US,N/A
278056,2,145,211,Florida,Orange/Mesquito,9504,(other),Female,47,1968,Other Asian or Pacific Islander,Not Hispanic,N/A or no schooling,US citizen by naturalization,1992
229917,6,75,175,Colorado,,900,(other),Female,11,2004,White,Mexican,"Grade 5, 6, 7, or 8",Born in the US,N/A
61815,2,85,116,Arkansas,Benton,100,(other),Female,48,1967,White,Not Hispanic,4 years of college,Born in the US,N/A
621543,2,83,116,Massachusetts,,1902,(other),Male,47,1968,White,Not Hispanic,5+ years of college,Born in the US,N/A
1222503,1,58,58,Texas,,5e3,(other),Male,19,1996,Black/Negro,Not Hispanic,Grade 12,Born in the US,N/A
94166,5,36,58,California,Los Angeles,3707,"Los Angeles, CA",Female,1,2014,White,Mexican,N/A or no schooling,Born in the US,N/A
927132,1,56,56,North Carolina,Wake,1201,(other),Female,30,1985,White,Not Hispanic,1 year of college,Born in the US,N/A
1293866,3,63,99,Virginia,,51097,(other),Male,14,2001,Black/Negro,Not Hispanic,"Grade 5, 6, 7, or 8",Born in the US,N/A
5027,1,43,42,Alabama,Mobile,2701,(other),Female,81,1934,White,Not Hispanic,"Grade 5, 6, 7, or 8",Born in the US,N/A
182160,1,35,34,California,Los Angeles,3746,"Los Angeles, CA",Male,26,1989,White,Not Hispanic,4 years of college,Born in the US,N/A
612347,8,82,61,Massachusetts,,4301,(other),Female,18,1997,"Other race, nec",Other,1 year of college,Born in the US,N/A
1063481,3,61,54,Pennsylvania,Chester,3404,(other),Female,6,2009,White,Not Hispanic,Nursery school to grade 4,Born in the US,N/A
166130,3,57,45,California,Santa Clara,8507,(other),Male,15,2e3,White,Not Hispanic,Grade 10,Not a citizen of the US,N/A
756113,1,86,86,Nevada,Clark,411,(other),Female,56,1959,White,Not Hispanic,1 year of college,Born in the US,N/A
1314436,1,63,63,Washington,,11e3,(other),Female,44,1971,White,Not Hispanic,4 years of college,Born in the US,N/A
1005132,1,22,22,Oklahoma,,702,(other),Male,74,1941,White,Mexican,4 years of college,Born in the US,N/A
535533,3,64,67,Kentucky,Jefferson,1705,(other),Female,16,1999,White,Not Hispanic,Grade 10,Born in the US,N/A
380098,1,146,146,Georgia,,2002,(other),Male,45,1970,White,Not Hispanic,4 years of college,Born in the US,N/A
536526,2,63,43,Kentucky,,2800,(other),Male,34,1981,White,Not Hispanic,Grade 10,Born in the US,N/A
195421,3,42,38,California,Riverside,6508,"Moreno Valley, CA",Female,9,2006,"Other race, nec",Mexican,Nursery school to grade 4,Born in the US,N/A
602897,1,88,89,Massachusetts,,701,(other),Male,35,1980,White,Not Hispanic,1 year of college,Born in the US,N/A
44390,2,61,37,Arizona,Coconino,400,(other),Male,89,1926,White,Not Hispanic,5+ years of college,US citizen by naturalization,1952
510808,3,137,117,Kansas,,802,(other),Female,8,2007,White,Not Hispanic,Nursery school to grade 4,Born in the US,N/A
959843,4,20,20,Ohio,,3500,(other),Male,12,2003,White,Not Hispanic,"Grade 5, 6, 7, or 8",Born in the US,N/A
845064,1,8,8,New York,Bronx,3701,"New York, NY",Female,94,1921,White,Not Hispanic,5+ years of college,Born in the US,N/A
659350,2,138,214,Michigan,Muskegon,700,(other),Female,29,1986,White,Not Hispanic,4 years of college,Born in the US,N/A
18369,2,155,309,Alabama,,1600,(other),Female,22,1993,White,Not Hispanic,2 years of college,Born in the US,N/A
432588,1,9,8,Illinois,,2501,(other),Male,56,1959,White,Not Hispanic,Grade 11,Born in the US,N/A
182328,2,398,395,California,Riverside,6506,(other),Female,1,2014,White,Mexican,N/A or no schooling,Born in the US,N/A
1294849,2,52,37,Virginia,Virginia Beach City,51165,"Virginia Beach, VA",Female,13,2002,Black/Negro,Not Hispanic,"Grade 5, 6, 7, or 8",Born in the US,N/A
567171,1,42,43,Maryland,Montgomery,1001,(other),Male,51,1964,White,Not Hispanic,5+ years of college,Born in the US,N/A
596806,3,69,78,Massachusetts,,3601,(other),Female,,2015,White,Not Hispanic,N/A or no schooling,Born in the US,N/A
1240614,6,93,124,Texas,,800,(other),Male,6,2009,White,Mexican,Nursery school to grade 4,Born in the US,N/A
478828,1,56,55,Indiana,Lake,102,(other),Male,70,1945,Black/Negro,Not Hispanic,Grade 12,Born in the US,N/A
915707,2,63,95,North Carolina,Mecklenburg,3106,(other),Female,65,1950,White,Not Hispanic,Grade 12,Born in the US,N/A
8094,2,117,81,Alabama,Jefferson,1301,(other),Male,18,1997,Black/Negro,Not Hispanic,Grade 11,Born in the US,N/A
964012,2,73,66,Ohio,Franklin,4104,(other),Female,41,1974,White,Not Hispanic,4 years of college,Born in the US,N/A
820036,2,374,590,New York,,3805,"New York, NY",Female,43,1972,White,Not Hispanic,4 years of college,Born abroad of American parent(s),N/A
1155033,2,60,56,Texas,Dallas,2309,(other),Female,37,1978,White,Not Hispanic,5+ years of college,Born in the US,N/A
1313893,1,15,15,Washington,Thurston,11402,(other),Male,33,1982,Black/Negro,Not Hispanic,1 year of college,Born in the US,N/A
755695,1,75,75,Nevada,Clark,402,(other),Male,36,1979,White,Not Hispanic,Grade 12,Born in the US,N/A
1125515,5,62,55,Tennessee,,1400,(other),Female,8,2007,White,Not Hispanic,Nursery school to grade 4,Born in the US,N/A
1059828,2,29,27,Pennsylvania,,2200,(other),Female,72,1943,White,Not Hispanic,Grade 12,Born in the US,N/A
403215,1,117,117,Idaho,,800,(other),Female,51,1964,White,Not Hispanic,1 year of college,Born in the US,N/A
100445,2,180,184,California,Contra Costa,1302,(other),Male,21,1994,Black/Negro,Not Hispanic,Grade 12,Born in the US,N/A
1048468,1,102,102,Pennsylvania,Allegheny,1701,"Pittsburgh, PA",Male,20,1995,White,Not Hispanic,Grade 12,Born in the US,N/A
535115,5,137,219,Kentucky,,2200,(other),Female,5,2010,White,Not Hispanic,Nursery school to grade 4,Born in the US,N/A
245783,3,108,95,Connecticut,Litchfield,500,(other),Male,7,2008,White,Not Hispanic,Nursery school to grade 4,Born in the US,N/A
312585,4,88,102,Florida,,8621,(other),Female,12,2003,White,Not Hispanic,"Grade 5, 6, 7, or 8",Born in the US,N/A
1075766,1,216,217,Pennsylvania,Philadelphia,3207,"Philadelphia, PA",Female,82,1933,Black/Negro,Not Hispanic,Grade 12,Born in the US,N/A
943820,1,122,121,Ohio,Portage,1700,(other),Female,82,1933,White,Not Hispanic,Grade 12,Born in the US,N/A
662820,2,155,167,Michigan,Kalamazoo,2101,(other),Female,32,1983,White,Not Hispanic,5+ years of college,Born in the US,N/A
