term,justice_id,justice,idealpt,idealpt_sd,median_idealpt,median_justice
1937,67,McReynolds,3.441,0.546,,
1938,67,McReynolds,3.574,0.561,,
1939,67,McReynolds,3.541,0.616,-1.067,Reed
1940,67,McReynolds,3.363,0.714,-0.734,Frankfurter
1937,68,Brandeis,-0.611,0.273,,
1938,68,Brandeis,-0.616,0.313,,
1937,71,Sutherland,1.583,0.551,,
1937,72,Butler,2.066,0.425,,
1938,72,Butler,2.372,0.429,,
1937,74,Stone,-0.769,0.259,,
1938,74,Stone,-0.705,0.212,,
1939,74,Stone,-0.622,0.201,-1.067,Reed
1940,74,Stone,-0.213,0.188,-0.734,Frankfurter
1941,74,Stone,0.468,0.193,-0.19,Byrnes
1942,74,Stone,0.426,0.184,0.124,Reed
1943,74,Stone,0.252,0.178,0.142,Reed
1944,74,Stone,0.576,0.18,-0.085,Reed
1945,74,Stone,0.725,0.27,0.074,Reed
1937,75,Hughes2,-0.366,0.229,,
1938,75,Hughes2,-0.189,0.189,,
1939,75,Hughes2,0.344,0.194,-1.067,Reed
1940,75,Hughes2,0.935,0.239,-0.734,Frankfurter
1937,76,O. Roberts,0.016,0.226,,
1938,76,O. Roberts,0.347,0.198,,
1939,76,O. Roberts,1.007,0.225,-1.067,Reed
1940,76,O. Roberts,1.656,0.27,-0.734,Frankfurter
1941,76,O. Roberts,1.88,0.317,-0.19,Byrnes
1942,76,O. Roberts,2.141,0.349,0.124,Reed
1943,76,O. Roberts,2.458,0.38,0.142,Reed
1944,76,O. Roberts,2.799,0.412,-0.085,Reed
1937,77,Cardozo,-1.595,0.637,,
1937,78,Black,-2.896,0.335,,
1938,78,Black,-3.204,0.361,,
1939,78,Black,-3.3,0.383,-1.067,Reed
1940,78,Black,-3.338,0.384,-0.734,Frankfurter
1941,78,Black,-3.272,0.38,-0.19,Byrnes
1942,78,Black,-3.068,0.376,0.124,Reed
1943,78,Black,-2.747,0.367,0.142,Reed
1944,78,Black,-2.594,0.341,-0.085,Reed
1945,78,Black,-2.185,0.348,0.074,Reed
1946,78,Black,-1.974,0.301,0.296,Reed
1947,78,Black,-1.807,0.279,0.539,Reed
1948,78,Black,-1.605,0.267,0.634,Frankfurter
1949,78,Black,-1.552,0.306,0.998,Burton
1950,78,Black,-1.502,0.29,1.01,Burton
1951,78,Black,-1.371,0.261,0.959,Burton
1952,78,Black,-1.105,0.231,1.176,Clark
1953,78,Black,-1.483,0.262,0.619,Clark
1954,78,Black,-1.617,0.284,0.326,Frankfurter
1955,78,Black,-1.955,0.285,0.632,Frankfurter
1956,78,Black,-2.163,0.281,0.801,Frankfurter
1957,78,Black,-2.233,0.273,0.653,Clark
1958,78,Black,-2.068,0.284,,
1959,78,Black,-2.045,0.275,0.393,Clark
1960,78,Black,-1.935,0.267,0.483,Stewart
1961,78,Black,-1.832,0.267,,
1962,78,Black,-1.735,0.249,-1.098,Goldberg
1963,78,Black,-1.409,0.226,-1.121,Brennan
1964,78,Black,-0.857,0.228,-0.857,Black
1965,78,Black,-0.531,0.189,-0.531,Black
1966,78,Black,-0.42,0.155,-0.42,Black
1967,78,Black,-0.096,0.143,-1.253,Marshall
1968,78,Black,0.105,0.174,-1.127,Brennan
1969,78,Black,0.091,0.178,0.104,White
1970,78,Black,0.002,0.183,0.475,White
1937,79,Reed,-1.052,0.346,,
1938,79,Reed,-1.146,0.256,,
1939,79,Reed,-1.067,0.235,-1.067,Reed
1940,79,Reed,-0.739,0.207,-0.734,Frankfurter
1941,79,Reed,-0.278,0.184,-0.19,Byrnes
1942,79,Reed,0.124,0.174,0.124,Reed
1943,79,Reed,0.142,0.173,0.142,Reed
1944,79,Reed,-0.085,0.159,-0.085,Reed
1945,79,Reed,0.074,0.193,0.074,Reed
1946,79,Reed,0.296,0.172,0.296,Reed
1947,79,Reed,0.539,0.18,0.539,Reed
1948,79,Reed,0.716,0.191,0.634,Frankfurter
1949,79,Reed,1.153,0.25,0.998,Burton
1950,79,Reed,1.254,0.253,1.01,Burton
1951,79,Reed,1.312,0.25,0.959,Burton
1952,79,Reed,1.385,0.253,1.176,Clark
1953,79,Reed,1.538,0.267,0.619,Clark
1954,79,Reed,1.52,0.259,0.326,Frankfurter
1955,79,Reed,1.083,0.255,0.632,Frankfurter
1956,79,Reed,0.851,0.309,0.801,Frankfurter
1938,80,Frankfurter,-1.402,0.323,,
1939,80,Frankfurter,-1.275,0.247,-1.067,Reed
1940,80,Frankfurter,-0.734,0.206,-0.734,Frankfurter
1941,80,Frankfurter,0.084,0.187,-0.19,Byrnes
1942,80,Frankfurter,0.404,0.183,0.124,Reed
1943,80,Frankfurter,0.597,0.184,0.142,Reed
1944,80,Frankfurter,0.503,0.173,-0.085,Reed
1945,80,Frankfurter,0.649,0.214,0.074,Reed
1946,80,Frankfurter,1.042,0.204,0.296,Reed
1947,80,Frankfurter,0.953,0.199,0.539,Reed
1948,80,Frankfurter,0.634,0.182,0.634,Frankfurter
1949,80,Frankfurter,0.346,0.214,0.998,Burton
1950,80,Frankfurter,0.236,0.201,1.01,Burton
1951,80,Frankfurter,0.116,0.192,0.959,Burton
