scode,ccode,country,year,polity2
FRN,220,France,1800,-8
FRN,220,France,1801,-8
FRN,220,France,1802,-8
FRN,220,France,1803,-8
FRN,220,France,1804,-8
FRN,220,France,1805,-8
FRN,220,France,1806,-8
FRN,220,France,1807,-8
FRN,220,France,1808,-8
FRN,220,France,1809,-8
FRN,220,France,1810,-8
FRN,220,France,1811,-8
FRN,220,France,1812,-8
FRN,220,France,1813,-8
FRN,220,France,1814,-4
FRN,220,France,1815,-4
FRN,220,France,1816,-4
FRN,220,France,1817,-4
FRN,220,France,1818,-4
FRN,220,France,1819,-4
FRN,220,France,1820,-4
FRN,220,France,1821,-4
FRN,220,France,1822,-4
FRN,220,France,1823,-4
FRN,220,France,1824,-4
FRN,220,France,1825,-4
FRN,220,France,1826,-4
FRN,220,France,1827,-4
FRN,220,France,1828,-4
FRN,220,France,1829,-4
FRN,220,France,1830,-1
FRN,220,France,1831,-1
FRN,220,France,1832,-1
FRN,220,France,1833,-1
FRN,220,France,1834,-1
FRN,220,France,1835,-1
FRN,220,France,1836,-1
FRN,220,France,1837,-1
FRN,220,France,1838,-1
FRN,220,France,1839,-1
FRN,220,France,1840,-1
FRN,220,France,1841,-1
FRN,220,France,1842,-1
FRN,220,France,1843,-1
FRN,220,France,1844,-1
FRN,220,France,1845,-1
FRN,220,France,1846,-1
FRN,220,France,1847,-1
FRN,220,France,1848,6
FRN,220,France,1849,6
FRN,220,France,1850,6
FRN,220,France,1851,-1
FRN,220,France,1852,-8
FRN,220,France,1853,-8
FRN,220,France,1854,-8
FRN,220,France,1855,-8
FRN,220,France,1856,-8
FRN,220,France,1857,-8
FRN,220,France,1858,-8
FRN,220,France,1859,-8
FRN,220,France,1860,-8
FRN,220,France,1861,-7
FRN,220,France,1862,-6
FRN,220,France,1863,-6
FRN,220,France,1864,-6
FRN,220,France,1865,-6
FRN,220,France,1866,-6
FRN,220,France,1867,-6
FRN,220,France,1868,-6
FRN,220,France,1869,-3
FRN,220,France,1870,-2
FRN,220,France,1871,-1
FRN,220,France,1872,1
FRN,220,France,1873,2
FRN,220,France,1874,3
FRN,220,France,1875,5
FRN,220,France,1876,6
FRN,220,France,1877,7
FRN,220,France,1878,7
FRN,220,France,1879,7
FRN,220,France,1880,7
FRN,220,France,1881,7
FRN,220,France,1882,7
FRN,220,France,1883,7
FRN,220,France,1884,7
FRN,220,France,1885,7
FRN,220,France,1886,7
FRN,220,France,1887,7
FRN,220,France,1888,7
FRN,220,France,1889,7
FRN,220,France,1890,7
FRN,220,France,1891,7
FRN,220,France,1892,7
FRN,220,France,1893,7
FRN,220,France,1894,7
FRN,220,France,1895,7
FRN,220,France,1896,7
FRN,220,France,1897,7
FRN,220,France,1898,8
FRN,220,France,1899,8
FRN,220,France,1900,8
FRN,220,France,1901,8
FRN,220,France,1902,8
FRN,220,France,1903,8
FRN,220,France,1904,8
FRN,220,France,1905,8
FRN,220,France,1906,8
FRN,220,France,1907,8
FRN,220,France,1908,8
FRN,220,France,1909,8
FRN,220,France,1910,8
FRN,220,France,1911,8
FRN,220,France,1912,8
FRN,220,France,1913,8
FRN,220,France,1914,8
FRN,220,France,1915,8
FRN,220,France,1916,8
FRN,220,France,1917,8
FRN,220,France,1918,8
FRN,220,France,1919,9
FRN,220,France,1920,9
FRN,220,France,1921,9
FRN,220,France,1922,9
FRN,220,France,1923,9
FRN,220,France,1924,9
FRN,220,France,1925,9
FRN,220,France,1926,9
FRN,220,France,1927,9
FRN,220,France,1928,9
FRN,220,France,1929,9
FRN,220,France,1930,10
FRN,220,France,1931,10
FRN,220,France,1932,10
FRN,220,France,1933,10
FRN,220,France,1934,10
FRN,220,France,1935,10
FRN,220,France,1936,10
FRN,220,France,1937,10
FRN,220,France,1938,10
FRN,220,France,1939,10
FRN,220,France,1940,-9
FRN,220,France,1941,-9
FRN,220,France,1942,-9
FRN,220,France,1943,-9
FRN,220,France,1944,-3
FRN,220,France,1945,4
FRN,220,France,1946,10
FRN,220,France,1947,10
FRN,220,France,1948,10
FRN,220,France,1949,10
FRN,220,France,1950,10
FRN,220,France,1951,10
FRN,220,France,1952,10
FRN,220,France,1953,10
FRN,220,France,1954,10
FRN,220,France,1955,10
FRN,220,France,1956,10
FRN,220,France,1957,10
FRN,220,France,1958,5
FRN,220,France,1959,5
FRN,220,France,1960,5
FRN,220,France,1961,5
FRN,220,France,1962,5
FRN,220,France,1963,5
FRN,220,France,1964,5
FRN,220,France,1965,5
FRN,220,France,1966,5
FRN,220,France,1967,5
FRN,220,France,1968,5
FRN,220,France,1969,8
FRN,220,France,1970,8
FRN,220,France,1971,8
FRN,220,France,1972,8
FRN,220,France,1973,8
FRN,220,France,1974,8
FRN,220,France,1975,8
FRN,220,France,1976,8
FRN,220,France,1977,8
FRN,220,France,1978,8
FRN,220,France,1979,8
FRN,220,France,1980,8
FRN,220,France,1981,8
FRN,220,France,1982,8
FRN,220,France,1983,8
FRN,220,France,1984,8
FRN,220,France,1985,8
FRN,220,France,1986,9
FRN,220,France,1987,9
FRN,220,France,1988,9
FRN,220,France,1989,9
FRN,220,France,1990,9
FRN,220,France,1991,9
FRN,220,France,1992,9
FRN,220,France,1993,9
FRN,220,France,1994,9
FRN,220,France,1995,9
FRN,220,France,1996,9
FRN,220,France,1997,9
FRN,220,France,1998,9
FRN,220,France,1999,9
FRN,220,France,2e3,9
FRN,220,France,2001,9
FRN,220,France,2002,9
FRN,220,France,2003,9
FRN,220,France,2004,9
FRN,220,France,2005,9
FRN,220,France,2006,9
FRN,220,France,2007,9
FRN,220,France,2008,9
FRN,220,France,2009,9
FRN,220,France,2010,9
FRN,220,France,2011,9
FRN,220,France,2012,9
FRN,220,France,2013,9
FRN,220,France,2014,9
FRN,220,France,2015,9
FRN,220,France,2016,9
GMY,255,Prussia,1800,-10
GMY,255,Prussia,1801,-10
GMY,255,Prussia,1802,-10
GMY,255,Prussia,1803,-10
GMY,255,Prussia,1804,-10
GMY,255,Prussia,1805,-10
GMY,255,Prussia,1806,NA
GMY,255,Prussia,1807,NA
GMY,255,Prussia,1808,NA
GMY,255,Prussia,1809,NA
GMY,255,Prussia,1810,NA
GMY,255,Prussia,1811,NA
GMY,255,Prussia,1812,NA
GMY,255,Prussia,1813,-10
GMY,255,Prussia,1814,-10
GMY,255,Prussia,1815,-10
