"d_pres_fav","r_pres_fav","vt_pres_2","vt_pres_4","vt_sen","vt_gov","likely","scale","partyid","sample","phoneuse","gender","educ","hisp","cuban","race","age","racer","turnout_score","turnout_class","region","rvweight","likelyyn","lvweight","file_race","file_party","file_county","file_age","state","poll","poll_id","file_vt16","file_vt14","file_vt12"
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",62,"Caucasian/White",0.995005428,"High","Piedmont-Triad",0.875237882137299,1,0.873052162827567,"White","Republican","Guilford",62,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Landline","Refused","Female","Some college or trade school","No",NA,"Caucasian/White",63,"Caucasian/White",0.994508435,"High","Western",0.784551024436951,1,0.782396817963695,"White","Democratic","Graham",63,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Favorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Won't vote","Pat McCrory, the Republican","Almost certain","Nine","Democrat","Landline","Landline only","Female","Some college or trade school","No",NA,"Caucasian/White",70,"Caucasian/White",0.742126088,"Middle","Piedmont-Triad",0.929632008075714,1,0.809768086754264,"White","Democratic","Guilford",70,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Not very likely","Three","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",23,"Caucasian/White",0.477574282,"Low","East/ South Central",0.728584766387939,0,0.173976673341929,"White","Other","New Hanover",22,"North Carolina","September","North Carolina September",0,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","Yes",NA,"[DO NOT READ] Other/Something else (specify)",36,"Hispanic/Latino",0.62167939,"Middle","East/ South Central",0.869360148906708,1,0.70491171798467,"Hispanic","Democratic","Dare",35,"North Carolina","September","North Carolina September",1,0,1
"Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Someone else (specify)","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",58,"Caucasian/White",0.994762851,"High","Southwest",1.7305850982666,1,1.7260534322582,"White","Republican","Cabarrus",58,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",89,"Caucasian/White",0.499306865,"Low","Piedmont-Triad",0.476700335741043,1,0.357360042962175,"Other","Other","Forsyth",89,"North Carolina","September","North Carolina September",0,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",52,"Caucasian/White",0.992658303,"High","Western",0.59447056055069,1,0.592288349185198,"White","Democratic","Catawba",52,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline only","Male","High school","No",NA,"African American/Black",93,"African American/Black",0.977541827,"High","Western",0.585407018661499,1,0.578833432611242,"Black","Republican","Buncombe",93,"North Carolina","September","North Carolina September",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"African American/Black",44,"African American/Black",0.995418772,"High","Piedmont-Triad",1.52748715877533,1,1.52398827530462,"Black","Democratic","Guilford",44,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Graduate or Professional degree","No",NA,"Caucasian/White",34,"Caucasian/White",0.988854944,"High","North Central",1.84010875225067,1,1.82985469470571,"White","Democratic","Wake",34,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",58,"Caucasian/White",0.975248316,"High","North Central",1.83138251304626,1,1.80871761242324,"White","Other","Wake",21,"North Carolina","September","North Carolina September",1,1,1
"[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Not at all likely","Three","[DO NOT READ] Refused","Cell","Cell Phone only","Male","High school","No",NA,"Caucasian/White",32,"Caucasian/White",0.422846298,"Low","Piedmont-Triad",0.740140020847321,0,0.156482733908466,"White","Republican","Guilford",31,"North Carolina","September","North Carolina September",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",62,"Caucasian/White",0.795672011,"Middle","East/ South Central",0.787653028964996,1,0.707183249245908,"White","Republican","Pitt",62,"North Carolina","September","North Carolina September",0,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","High school","No",NA,"Caucasian/White",65,"Caucasian/White",0.952356619,"High","Southwest",0.849459707736969,1,0.829224141487038,"White","Other","Gaston",65,"North Carolina","September","North Carolina September",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",78,"Caucasian/White",0.577415853,"Middle","East/ South Central",0.673393189907074,1,0.531110546530829,"White","Other","Hoke",78,"North Carolina","September","North Carolina September",1,0,1
"Favorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Richard Burr, the Republican","Pat McCrory, the Republican","Somewhat likely","One (definitely will NOT vote)","Republican","Cell","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",65,"Caucasian/White",0.412556928,"Low","Southwest",0.92685866355896,0,0.191190981464035,"White","Republican","Cleveland",65,"North Carolina","September","North Carolina September",0,0,0
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","[DO NOT READ] Refused","Cell","Refused","Female","[DO NOT READ] Refused","[DO NOT READ] Refused",NA,"[DO NOT READ] Refused",0,"[DO NOT READ] Refused",0.73317812,"Middle","Western",0.953936338424683,1,0.826670794815288,"Hispanic","Republican","Haywood",26,"North Carolina","September","North Carolina September",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Eight","Independent (No party)","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",33,"Caucasian/White",0.590497232,"Middle","Western",1.08106577396393,0,0.319183173567819,"White","Democratic","Buncombe",32,"North Carolina","September","North Carolina September",1,1,0
