state,sex,age,race
New York,Female,8,White
Ohio,Male,24,White
Nevada,Male,37,White
Michigan,Female,12,White
Maryland,Female,18,Black/Negro
New Hampshire,Male,50,White
Iowa,Female,51,White
Missouri,Female,41,White
New Jersey,Male,62,White
California,Male,25,White
Texas,Female,23,White
Pennsylvania,Female,66,White
California,Female,57,White
Texas,Female,73,"Other race, nec"
California,Male,43,White
Washington,Male,29,White
Texas,Male,8,White
Missouri,Male,78,White
West Virginia,Male,10,White
Idaho,Female,9,White
Pennsylvania,Female,32,White
North Carolina,Female,7,White
Washington,Male,60,White
Massachusetts,Female,45,White
Connecticut,Male,54,White
Arkansas,Female,23,White
Maryland,Female,24,White
California,Female,60,White
Texas,Female,30,American Indian or Alaska Native
California,Female,59,"Other race, nec"
Indiana,Female,55,White
California,Female,66,Chinese
Wisconsin,Female,18,White
Wisconsin,Female,66,White
California,Female,12,White
Ohio,Male,13,White
Pennsylvania,Female,81,White
Ohio,Female,25,White
Pennsylvania,Female,36,White
Maine,Male,43,White
Texas,Male,20,White
Tennessee,Male,43,Other Asian or Pacific Islander
Minnesota,Female,59,White
Massachusetts,Female,10,White
Florida,Male,65,White
Oklahoma,Female,59,White
Texas,Male,43,White
California,Male,29,Other Asian or Pacific Islander
Connecticut,Female,63,White
New Jersey,Female,49,White
Florida,Female,36,White
Montana,Female,93,White
California,Male,22,Black/Negro
Georgia,Female,46,White
Ohio,Male,11,Black/Negro
Ohio,Female,9,White
California,Female,22,White
Arizona,Male,75,White
California,Male,16,White
Pennsylvania,Male,61,Black/Negro
Texas,Female,13,"Other race, nec"
California,Female,67,White
Colorado,Male,24,White
Massachusetts,Male,16,White
Virginia,Female,31,White
Illinois,Male,16,Two major races
Minnesota,Female,19,Black/Negro
New York,Female,64,White
California,Female,30,"Other race, nec"
Massachusetts,Female,46,White
New York,Male,28,White
Illinois,Male,5,White
California,Male,15,Chinese
Illinois,Male,4,White
Pennsylvania,Male,26,White
Oklahoma,Male,30,White
New Jersey,Male,39,White
Texas,Female,26,"Other race, nec"
Nevada,Female,42,White
Georgia,Female,66,White
Indiana,Male,82,White
California,Female,7,White
Texas,Male,17,White
Missouri,Male,13,White
New York,Male,20,"Other race, nec"
Texas,Female,51,White
Indiana,Female,75,White
Ohio,Male,53,White
